ab_id,pitcher_id,p_throws
2019000001,571666,R
2019000002,571666,R
2019000003,571666,R
2019000004,502239,R
2019000005,502239,R
2019000006,502239,R
2019000007,502239,R
2019000008,571666,R
2019000009,571666,R
2019000010,571666,R
2019000011,571666,R
2019000012,502239,R
2019000013,502239,R
2019000014,502239,R
2019000015,502239,R
2019000016,571666,R
2019000017,571666,R
2019000018,571666,R
2019000019,502239,R
2019000020,502239,R
2019000021,502239,R
2019000022,502239,R
2019000023,502239,R
2019000024,502239,R
2019000025,571666,R
2019000026,571666,R
2019000027,571666,R
2019000028,571666,R
2019000029,502239,R
2019000030,502239,R
2019000031,502239,R
2019000032,502239,R
2019000033,571666,R
2019000034,571666,R
2019000035,571666,R
2019000036,571666,R
2019000037,502239,R
2019000038,502239,R
2019000039,502239,R
2019000040,571666,R
2019000041,571666,R
2019000042,571666,R
2019000043,502239,R
2019000044,502239,R
2019000045,502239,R
2019000046,502239,R
2019000047,642152,R
2019000048,642152,R
2019000049,642152,R
2019000050,642152,R
2019000051,592135,R
2019000052,592135,R
2019000053,592135,R
2019000054,465657,R
2019000055,465657,R
2019000056,465657,R
2019000057,465657,R
2019000058,465657,R
2019000059,572703,R
2019000060,572703,R
2019000061,572703,R
2019000062,572703,R
2019000063,595014,R
2019000064,595014,R
2019000065,595014,R
2019000066,547943,L
2019000067,547943,L
2019000068,547943,L
2019000069,547943,L
2019000070,425844,R
2019000071,425844,R
2019000072,425844,R
2019000073,425844,R
2019000074,425844,R
2019000075,425844,R
2019000076,547943,L
2019000077,547943,L
2019000078,547943,L
2019000079,425844,R
2019000080,425844,R
2019000081,425844,R
2019000082,425844,R
2019000083,425844,R
2019000084,547943,L
2019000085,547943,L
2019000086,547943,L
2019000087,425844,R
2019000088,425844,R
2019000089,425844,R
2019000090,547943,L
2019000091,547943,L
2019000092,547943,L
2019000093,425844,R
2019000094,425844,R
2019000095,425844,R
2019000096,425844,R
2019000097,425844,R
2019000098,425844,R
2019000099,571863,R
2019000100,547943,L
2019000101,547943,L
2019000102,547943,L
2019000103,547943,L
2019000104,571863,R
2019000105,571863,R
2019000106,571863,R
2019000107,547943,L
2019000108,547943,L
2019000109,547943,L
2019000110,547943,L
2019000111,547943,L
2019000112,571863,R
2019000113,571863,R
2019000114,571863,R
2019000115,571863,R
2019000116,571863,R
2019000117,554340,R
2019000118,554340,R
2019000119,554340,R
2019000120,554340,R
2019000121,571863,R
2019000122,571863,R
2019000123,571863,R
2019000124,571863,R
2019000125,571863,R
2019000126,571863,R
2019000127,571863,R
2019000128,592779,R
2019000129,592779,R
2019000130,592779,R
2019000131,571863,R
2019000132,571863,R
2019000133,571863,R
2019000134,592779,R
2019000135,592779,R
2019000136,592779,R
2019000137,592779,R
2019000138,592779,R
2019000139,592779,R
2019000140,605400,R
2019000141,605400,R
2019000142,605400,R
2019000143,527054,R
2019000144,527054,R
2019000145,527054,R
2019000146,527054,R
2019000147,605400,R
2019000148,605400,R
2019000149,605400,R
2019000150,605400,R
2019000151,605400,R
2019000152,605400,R
2019000153,527054,R
2019000154,527054,R
2019000155,527054,R
2019000156,605400,R
2019000157,605400,R
2019000158,605400,R
2019000159,527054,R
2019000160,527054,R
2019000161,527054,R
2019000162,605400,R
2019000163,605400,R
2019000164,605400,R
2019000165,605400,R
2019000166,527054,R
2019000167,527054,R
2019000168,527054,R
2019000169,527054,R
2019000170,527054,R
2019000171,527054,R
2019000172,527054,R
2019000173,527054,R
2019000174,605400,R
2019000175,605400,R
2019000176,605400,R
2019000177,527054,R
2019000178,527054,R
2019000179,527054,R
2019000180,605400,R
2019000181,605400,R
2019000182,605400,R
2019000183,605400,R
2019000184,641438,R
2019000185,641438,R
2019000186,641438,R
2019000187,641438,R
2019000188,641438,R
2019000189,641149,R
2019000190,593576,R
2019000191,593576,R
2019000192,593576,R
2019000193,593576,R
2019000194,593576,R
2019000195,592426,R
2019000196,592426,R
2019000197,592426,R
2019000198,592426,R
2019000199,592426,R
2019000200,592426,R
2019000201,592426,R
2019000202,502085,R
2019000203,502085,R
2019000204,502085,R
2019000205,502085,R
2019000206,502085,R
2019000207,608331,L
2019000208,608331,L
2019000209,608331,L
2019000210,450212,R
2019000211,450212,R
2019000212,450212,R
2019000213,547888,R
2019000214,547888,R
2019000215,547888,R
2019000216,547888,R
2019000217,488768,R
2019000218,488768,R
2019000219,488768,R
2019000220,488768,R
2019000221,488768,R
2019000222,488768,R
2019000223,488768,R
2019000224,547888,R
2019000225,547888,R
2019000226,547888,R
2019000227,488768,R
2019000228,488768,R
2019000229,488768,R
2019000230,547888,R
2019000231,547888,R
2019000232,547888,R
2019000233,488768,R
2019000234,488768,R
2019000235,488768,R
2019000236,488768,R
2019000237,488768,R
2019000238,547888,R
2019000239,547888,R
2019000240,547888,R
2019000241,547888,R
2019000242,547888,R
2019000243,488768,R
2019000244,488768,R
2019000245,488768,R
2019000246,547888,R
2019000247,547888,R
2019000248,547888,R
2019000249,488768,R
2019000250,488768,R
2019000251,605541,R
2019000252,605541,R
2019000253,605541,R
2019000254,605541,R
2019000255,605541,R
2019000256,547888,R
2019000257,547888,R
2019000258,547888,R
2019000259,547888,R
2019000260,493603,R
2019000261,605276,R
2019000262,605276,R
2019000263,605276,R
2019000264,605276,R
2019000265,493603,R
2019000266,493603,R
2019000267,493603,R
2019000268,605276,R
2019000269,605276,R
2019000270,605276,R
2019000271,605276,R
2019000272,502154,L
2019000273,502154,L
2019000274,502154,L
2019000275,502154,L
2019000276,502154,L
2019000277,643316,L
2019000278,643316,L
2019000279,643316,L
2019000280,643316,L
2019000281,643316,L
2019000282,643316,L
2019000283,547973,L
2019000284,547973,L
2019000285,547973,L
2019000286,547973,L
2019000287,594835,L
2019000288,594835,L
2019000289,594835,L
2019000290,594835,L
2019000291,594835,L
2019000292,594835,L
2019000293,519242,L
2019000294,519242,L
2019000295,519242,L
2019000296,519242,L
2019000297,594835,L
2019000298,594835,L
2019000299,594835,L
2019000300,594835,L
2019000301,594835,L
2019000302,519242,L
2019000303,519242,L
2019000304,519242,L
2019000305,519242,L
2019000306,519242,L
2019000307,519242,L
2019000308,519242,L
2019000309,594835,L
2019000310,594835,L
2019000311,594835,L
2019000312,594835,L
2019000313,594835,L
2019000314,519242,L
2019000315,519242,L
2019000316,519242,L
2019000317,519242,L
2019000318,519242,L
2019000319,519242,L
2019000320,519242,L
2019000321,594835,L
2019000322,594835,L
2019000323,594835,L
2019000324,584171,R
2019000325,584171,R
2019000326,584171,R
2019000327,584171,R
2019000328,594835,L
2019000329,594835,L
2019000330,594835,L
2019000331,594835,L
2019000332,594835,L
2019000333,584171,R
2019000334,584171,R
2019000335,584171,R
2019000336,584171,R
2019000337,594835,L
2019000338,594835,L
2019000339,594835,L
2019000340,606273,L
2019000341,606273,L
2019000342,606273,L
2019000343,584171,R
2019000344,584171,R
2019000345,584171,R
2019000346,584171,R
2019000347,592390,R
2019000348,592390,R
2019000349,592390,R
2019000350,592390,R
2019000351,518715,R
2019000352,518715,R
2019000353,518715,R
2019000354,592804,R
2019000355,592804,R
2019000356,592804,R
2019000357,592804,R
2019000358,592804,R
2019000359,592165,R
2019000360,592165,R
2019000361,592165,R
2019000362,598271,L
2019000363,598271,L
2019000364,598271,L
2019000365,598271,L
2019000366,592165,R
2019000367,592165,R
2019000368,592165,R
2019000369,592165,R
2019000370,641745,R
2019000371,641745,R
2019000372,641745,R
2019000373,607074,L
2019000374,607074,L
2019000375,607074,L
2019000376,641745,R
2019000377,641745,R
2019000378,641745,R
2019000379,641745,R
2019000380,607074,L
2019000381,607074,L
2019000382,607074,L
2019000383,641745,R
2019000384,641745,R
2019000385,641745,R
2019000386,607074,L
2019000387,607074,L
2019000388,607074,L
2019000389,607074,L
2019000390,641745,R
2019000391,641745,R
2019000392,641745,R
2019000393,641745,R
2019000394,607074,L
2019000395,607074,L
2019000396,607074,L
2019000397,607074,L
2019000398,641745,R
2019000399,641745,R
2019000400,641745,R
2019000401,607074,L
2019000402,607074,L
2019000403,607074,L
2019000404,607074,L
2019000405,641745,R
2019000406,641745,R
2019000407,641745,R
2019000408,641745,R
2019000409,607074,L
2019000410,607074,L
2019000411,607074,L
2019000412,607074,L
2019000413,607074,L
2019000414,518858,R
2019000415,518858,R
2019000416,518858,R
2019000417,641745,R
2019000418,641745,R
2019000419,641745,R
2019000420,621114,R
2019000421,621114,R
2019000422,621114,R
2019000423,621114,R
2019000424,592229,R
2019000425,592229,R
2019000426,592229,R
2019000427,453178,R
2019000428,453178,R
2019000429,453178,R
2019000430,592229,R
2019000431,592229,R
2019000432,592229,R
2019000433,503449,R
2019000434,503449,R
2019000435,503449,R
2019000436,518617,L
2019000437,518617,L
2019000438,518617,L
2019000439,641838,R
2019000440,641838,R
2019000441,502202,R
2019000442,501985,L
2019000443,501985,L
2019000444,501985,L
2019000445,501985,L
2019000446,452657,L
2019000447,452657,L
2019000448,452657,L
2019000449,452657,L
2019000450,452657,L
2019000451,501985,L
2019000452,501985,L
2019000453,501985,L
2019000454,452657,L
2019000455,452657,L
2019000456,452657,L
2019000457,501985,L
2019000458,501985,L
2019000459,501985,L
2019000460,452657,L
2019000461,452657,L
2019000462,452657,L
2019000463,452657,L
2019000464,452657,L
2019000465,501985,L
2019000466,501985,L
2019000467,501985,L
2019000468,501985,L
2019000469,452657,L
2019000470,452657,L
2019000471,452657,L
2019000472,501985,L
2019000473,501985,L
2019000474,501985,L
2019000475,501985,L
2019000476,501985,L
2019000477,501985,L
2019000478,501985,L
2019000479,445926,R
2019000480,445926,R
2019000481,445926,R
2019000482,452657,L
2019000483,452657,L
2019000484,452657,L
2019000485,452657,L
2019000486,445926,R
2019000487,445926,R
2019000488,445926,R
2019000489,491646,R
2019000490,491646,R
2019000491,491646,R
2019000492,613317,L
2019000493,518875,R
2019000494,452657,L
2019000495,452657,L
2019000496,452657,L
2019000497,452657,L
2019000498,664871,R
2019000499,664871,R
2019000500,664871,R
2019000501,664871,R
2019000502,664871,R
2019000503,600968,L
2019000504,600968,L
2019000505,600968,L
2019000506,664871,R
2019000507,664871,R
2019000508,664871,R
2019000509,664871,R
2019000510,664871,R
2019000511,664871,R
2019000512,542960,R
2019000513,542960,R
2019000514,542960,R
2019000515,605488,L
2019000516,605488,L
2019000517,605488,L
2019000518,605488,L
2019000519,467008,R
2019000520,467008,R
2019000521,467008,R
2019000522,543557,L
2019000523,543557,L
2019000524,621244,R
2019000525,621244,R
2019000526,621244,R
2019000527,446372,R
