ab_id,pitcher_id,p_throws
2019002560,592789,R
2019002561,592789,R
2019002562,592789,R
2019002563,544931,R
2019002564,544931,R
2019002565,544931,R
2019002566,544931,R
2019002567,592789,R
2019002568,592789,R
2019002569,592789,R
2019002570,544931,R
2019002571,544931,R
2019002572,544931,R
2019002573,592789,R
2019002574,592789,R
2019002575,592789,R
2019002576,592789,R
2019002577,544931,R
2019002578,544931,R
2019002579,544931,R
2019002580,592789,R
2019002581,592789,R
2019002582,592789,R
2019002583,592789,R
2019002584,448609,L
2019002585,448609,L
2019002586,448609,L
2019002587,448609,L
2019002588,458677,L
2019002589,458677,L
2019002590,458677,L
2019002591,572096,R
2019002592,572096,R
2019002593,572096,R
2019002594,572096,R
2019002595,607457,R
2019002596,607457,R
2019002597,607457,R
2019002598,594840,L
2019002599,544727,R
2019002600,544727,R
2019002601,544727,R
2019002602,544727,R
2019002603,544727,R
2019002604,607625,R
2019002605,594840,L
2019002606,593833,R
2019002607,593833,R
2019002608,593833,R
2019002609,593833,R
2019002610,593833,R
2019002611,593833,R
2019002612,607625,R
2019002613,607625,R
2019002614,607625,R
2019002615,607625,R
2019002616,607625,R
2019002617,607625,R
2019002618,607625,R
2019002619,621242,R
2019002620,676606,L
2019002621,676606,L
2019002622,676606,L
2019002623,676606,L
2019002624,605446,R
2019002625,605446,R
2019002626,605446,R
2019002627,676606,L
2019002628,676606,L
2019002629,676606,L
2019002630,676606,L
2019002631,605446,R
2019002632,605446,R
2019002633,605446,R
2019002634,605446,R
2019002635,676606,L
2019002636,676606,L
2019002637,676606,L
2019002638,676606,L
2019002639,605446,R
2019002640,605446,R
2019002641,605446,R
2019002642,676606,L
2019002643,676606,L
2019002644,676606,L
2019002645,605446,R
2019002646,605446,R
2019002647,605446,R
2019002648,676606,L
2019002649,676606,L
2019002650,676606,L
2019002651,605446,R
2019002652,605446,R
2019002653,605446,R
2019002654,605446,R
2019002655,676606,L
2019002656,476594,R
2019002657,476594,R
2019002658,476594,R
2019002659,572362,L
2019002660,572362,L
2019002661,572362,L
2019002662,572362,L
2019002663,605446,R
2019002664,605446,R
2019002665,664157,L
2019002666,606625,R
2019002667,606625,R
2019002668,606625,R
2019002669,572362,L
2019002670,572362,L
2019002671,572362,L
2019002672,606625,R
2019002673,606625,R
2019002674,606625,R
2019002675,606625,R
2019002676,571901,L
2019002677,571901,L
2019002678,571901,L
2019002679,571901,L
2019002680,571901,L
2019002681,571901,L
2019002682,453265,L
2019002683,453265,L
2019002684,453265,L
2019002685,453265,L
2019002686,453265,L
2019002687,664208,R
2019002688,664208,R
2019002689,664208,R
2019002690,664208,R
2019002691,519293,L
2019002692,519293,L
2019002693,519293,L
2019002694,605540,R
2019002695,605540,R
2019002696,605540,R
2019002697,641712,R
2019002698,641712,R
2019002699,641712,R
2019002700,641712,R
2019002701,641712,R
2019002702,641712,R
2019002703,605540,R
2019002704,605540,R
2019002705,605540,R
2019002706,605540,R
2019002707,641712,R
2019002708,641712,R
2019002709,641712,R
2019002710,641712,R
2019002711,605540,R
2019002712,605540,R
2019002713,605540,R
2019002714,605540,R
2019002715,605540,R
2019002716,641712,R
2019002717,641712,R
2019002718,641712,R
2019002719,641712,R
2019002720,641712,R
2019002721,641712,R
2019002722,605540,R
2019002723,605540,R
2019002724,605540,R
2019002725,605540,R
2019002726,605540,R
2019002727,605540,R
2019002728,641712,R
2019002729,641712,R
2019002730,641712,R
2019002731,641712,R
2019002732,605540,R
2019002733,605540,R
2019002734,605540,R
2019002735,605540,R
2019002736,641712,R
2019002737,641712,R
2019002738,641712,R
2019002739,594577,R
2019002740,594577,R
2019002741,594577,R
2019002742,448855,R
2019002743,448855,R
2019002744,448855,R
2019002745,594577,R
2019002746,594577,R
2019002747,594577,R
2019002748,594577,R
2019002749,592222,L
2019002750,592222,L
2019002751,592222,L
2019002752,543935,R
2019002753,608678,R
2019002754,608678,R
2019002755,608678,R
2019002756,543935,R
2019002757,543935,R
2019002758,543935,R
2019002759,608678,R
2019002760,608678,R
2019002761,608678,R
2019002762,608678,R
2019002763,608678,R
2019002764,623352,L
2019002765,623352,L
2019002766,623352,L
2019002767,593423,R
2019002768,593423,R
2019002769,593423,R
2019002770,593423,R
2019002771,572140,L
2019002772,572140,L
2019002773,572140,L
2019002774,593423,R
2019002775,593423,R
2019002776,593423,R
2019002777,572140,L
2019002778,572140,L
2019002779,572140,L
2019002780,593423,R
2019002781,593423,R
2019002782,593423,R
2019002783,572140,L
2019002784,572140,L
2019002785,572140,L
2019002786,572140,L
2019002787,572140,L
2019002788,572140,L
2019002789,593423,R
2019002790,593423,R
2019002791,593423,R
2019002792,572140,L
2019002793,572140,L
2019002794,572140,L
2019002795,572140,L
2019002796,593423,R
2019002797,593423,R
2019002798,593423,R
2019002799,572140,L
2019002800,572140,L
2019002801,572140,L
2019002802,621142,R
2019002803,621142,R
2019002804,593423,R
2019002805,593423,R
2019002806,593423,R
2019002807,593423,R
2019002808,621142,R
2019002809,621142,R
2019002810,621142,R
2019002811,593423,R
2019002812,642152,R
2019002813,642152,R
2019002814,642152,R
2019002815,570663,R
2019002816,570663,R
2019002817,570663,R
2019002818,570663,R
2019002819,465657,R
2019002820,465657,R
2019002821,465657,R
2019002822,472610,R
2019002823,472610,R
2019002824,472610,R
2019002825,472610,R
2019002826,472610,R
2019002827,472610,R
2019002828,595014,R
2019002829,595014,R
2019002830,595014,R
2019002831,595014,R
2019002832,621111,R
2019002833,621111,R
2019002834,621111,R
2019002835,596133,R
2019002836,596133,R
2019002837,596133,R
2019002838,596133,R
2019002839,596133,R
2019002840,596133,R
2019002841,596133,R
2019002842,621111,R
2019002843,621111,R
2019002844,621111,R
2019002845,596133,R
2019002846,596133,R
2019002847,596133,R
2019002848,621111,R
2019002849,621111,R
2019002850,621111,R
2019002851,621111,R
2019002852,596133,R
2019002853,596133,R
2019002854,596133,R
2019002855,596133,R
2019002856,596133,R
2019002857,621111,R
2019002858,621111,R
2019002859,621111,R
2019002860,621111,R
2019002861,621111,R
2019002862,520980,R
2019002863,520980,R
2019002864,520980,R
2019002865,520980,R
2019002866,520980,R
2019002867,596133,R
2019002868,596133,R
2019002869,596133,R
2019002870,596133,R
2019002871,596133,R
2019002872,596133,R
2019002873,518397,L
2019002874,518397,L
2019002875,518397,L
2019002876,596133,R
2019002877,596133,R
2019002878,661255,R
2019002879,661255,R
2019002880,661255,R
2019002881,661255,R
2019002882,554340,R
2019002883,554340,R
2019002884,554340,R
2019002885,554340,R
2019002886,661255,R
2019002887,661255,R
2019002888,661255,R
2019002889,657571,L
2019002890,657571,L
2019002891,657571,L
2019002892,657571,L
2019002893,657571,L
2019002894,605151,R
2019002895,605151,R
2019002896,605151,R
2019002897,605151,R
2019002898,605151,R
2019002899,571670,R
2019002900,571670,R
2019002901,571670,R
2019002902,571670,R
2019002903,571670,R
2019002904,673633,R
2019002905,673633,R
2019002906,673633,R
2019002907,673633,R
2019002908,673633,R
2019002909,673633,R
2019002910,445276,R
2019002911,445276,R
2019002912,445276,R
2019002913,453562,R
2019002914,453562,R
2019002915,453562,R
2019002916,453562,R
2019002917,657140,R
2019002918,657140,R
2019002919,657140,R
2019002920,657140,R
2019002921,657140,R
2019002922,657140,R
2019002923,453562,R
2019002924,453562,R
2019002925,453562,R
2019002926,453562,R
2019002927,453562,R
2019002928,453562,R
2019002929,657140,R
2019002930,657140,R
2019002931,657140,R
2019002932,453562,R
2019002933,453562,R
2019002934,453562,R
2019002935,453562,R
2019002936,453562,R
2019002937,657140,R
2019002938,657140,R
2019002939,657140,R
2019002940,657140,R
2019002941,657140,R
2019002942,453562,R
2019002943,453562,R
2019002944,453562,R
2019002945,657140,R
2019002946,657140,R
2019002947,657140,R
2019002948,453562,R
2019002949,453562,R
2019002950,453562,R
2019002951,453562,R
2019002952,453562,R
2019002953,657140,R
2019002954,657140,R
2019002955,657140,R
2019002956,608331,L
2019002957,608331,L
2019002958,608331,L
2019002959,608331,L
2019002960,453562,R
2019002961,453562,R
2019002962,453562,R
2019002963,641438,R
2019002964,641438,R
2019002965,641438,R
2019002966,641438,R
2019002967,641438,R
2019002968,605388,L
2019002969,605388,L
2019002970,605388,L
2019002971,641438,R
2019002972,641438,R
2019002973,592426,R
2019002974,592426,R
2019002975,592426,R
2019002976,592426,R
2019002977,592426,R
2019002978,450212,R
2019002979,450212,R
2019002980,450212,R
2019002981,450212,R
2019002982,592426,R
2019002983,592426,R
2019002984,592426,R
2019002985,593576,R
2019002986,593576,R
2019002987,593576,R
2019002988,457918,L
2019002989,457918,L
2019002990,457918,L
2019002991,457918,L
2019002992,457918,L
2019002993,457918,L
2019002994,457918,L
2019002995,605164,R
2019002996,605164,R
2019002997,605164,R
2019002998,605164,R
2019002999,457918,L
2019003000,457918,L
2019003001,457918,L
2019003002,605164,R
2019003003,605164,R
2019003004,605164,R
2019003005,457918,L
2019003006,457918,L
2019003007,457918,L
2019003008,457918,L
2019003009,605164,R
2019003010,605164,R
2019003011,605164,R
2019003012,605164,R
2019003013,605164,R
2019003014,605164,R
2019003015,457918,L
2019003016,457918,L
2019003017,457918,L
2019003018,605164,R
2019003019,605164,R
2019003020,605164,R
2019003021,605164,R
2019003022,605164,R
2019003023,607644,L
2019003024,607644,L
2019003025,607644,L
2019003026,570666,R
2019003027,570666,R
2019003028,570666,R
2019003029,570666,R
2019003030,570666,R
2019003031,607644,L
2019003032,607644,L
2019003033,607644,L
2019003034,607644,L
2019003035,570666,R
2019003036,570666,R
2019003037,570666,R
2019003038,570666,R
2019003039,607644,L
2019003040,607644,L
2019003041,607644,L
2019003042,607644,L
2019003043,607644,L
2019003044,570666,R
2019003045,570666,R
2019003046,570666,R
2019003047,607644,L
2019003048,607644,L
2019003049,607644,L
2019003050,607644,L
2019003051,570666,R
2019003052,570666,R
2019003053,605501,L
2019003054,605501,L
2019003055,605501,L
2019003056,605501,L
2019003057,571710,R
2019003058,571710,R
2019003059,571710,R
2019003060,571710,R
2019003061,571710,R
2019003062,571710,R
2019003063,592454,R
2019003064,592454,R
2019003065,592454,R
2019003066,592454,R
2019003067,592454,R
2019003068,592454,R
2019003069,571710,R
2019003070,571710,R
2019003071,571710,R
2019003072,571710,R
2019003073,571710,R
2019003074,643316,L
2019003075,453281,L
2019003076,453281,L
2019003077,453281,L
2019003078,453281,L
2019003079,453281,L
2019003080,453281,L
2019003081,453281,L
2019003082,453281,L
2019003083,519144,R
2019003084,519144,R
2019003085,519144,R
2019003086,453281,L
2019003087,453281,L
2019003088,453281,L
2019003089,519144,R
2019003090,519144,R
2019003091,519144,R
2019003092,519144,R
2019003093,519144,R
2019003094,519144,R
2019003095,519144,R
2019003096,453281,L
2019003097,453281,L
2019003098,453281,L
2019003099,453281,L
2019003100,453281,L
2019003101,519144,R
2019003102,519144,R
2019003103,519144,R
2019003104,519144,R
2019003105,519144,R
2019003106,519144,R
2019003107,519144,R
2019003108,519144,R
2019003109,519144,R
2019003110,598271,L
2019003111,598271,L
2019003112,453281,L
2019003113,453281,L
2019003114,453281,L
2019003115,453281,L
2019003116,453281,L
2019003117,453281,L
2019003118,453281,L
2019003119,598271,L
2019003120,598271,L
2019003121,598271,L
2019003122,598271,L
2019003123,598271,L
2019003124,453281,L
2019003125,453281,L
2019003126,453281,L
2019003127,598271,L
2019003128,598271,L
2019003129,598271,L
2019003130,598271,L
2019003131,598271,L
2019003132,453281,L
2019003133,592705,R
2019003134,592705,R
2019003135,592705,R
2019003136,519443,R
2019003137,519443,R
2019003138,519443,R
2019003139,519443,R
2019003140,670036,R
2019003141,670036,R
2019003142,670036,R
2019003143,605155,R
2019003144,605155,R
2019003145,605155,R
2019003146,605155,R
2019003147,605155,R
2019003148,605155,R
2019003149,670036,R
2019003150,670036,R
2019003151,670036,R
2019003152,670036,R
2019003153,606273,L
2019003154,518489,R
2019003155,518489,R
2019003156,518489,R
2019003157,518489,R
2019003158,518715,R
2019003159,518715,R
2019003160,518715,R
2019003161,518715,R
2019003162,607473,R
2019003163,607473,R
2019003164,607473,R
2019003165,605347,R
2019003166,605347,R
2019003167,605347,R
2019003168,608337,R
2019003169,608337,R
2019003170,608337,R
2019003171,608337,R
2019003172,605347,R
2019003173,605347,R
2019003174,605347,R
2019003175,608337,R
2019003176,608337,R
2019003177,608337,R
2019003178,605347,R
2019003179,605347,R
2019003180,605347,R
2019003181,605347,R
2019003182,608337,R
2019003183,608337,R
2019003184,608337,R
2019003185,605347,R
2019003186,605347,R
2019003187,605347,R
2019003188,605347,R
2019003189,605347,R
2019003190,608337,R
2019003191,608337,R
2019003192,608337,R
2019003193,605347,R
2019003194,605347,R
2019003195,605347,R
2019003196,608337,R
2019003197,608337,R
2019003198,608337,R
2019003199,605347,R
2019003200,605347,R
2019003201,605347,R
2019003202,657612,L
2019003203,657612,L
2019003204,657612,L
2019003205,641838,R
2019003206,608337,R
2019003207,608337,R
2019003208,608337,R
2019003209,641838,R
2019003210,641838,R
2019003211,641838,R
2019003212,641838,R
2019003213,641838,R
2019003214,641838,R
2019003215,641838,R
2019003216,608337,R
2019003217,608337,R
2019003218,608337,R
2019003219,608337,R
2019003220,608337,R
2019003221,621114,R
2019003222,622092,R
2019003223,622092,R
2019003224,622092,R
2019003225,622092,R
2019003226,516969,R
2019003227,516969,R
2019003228,516969,R
2019003229,516969,R
2019003230,516969,R
2019003231,516969,R
2019003232,595939,R
2019003233,595939,R
2019003234,595939,R
2019003235,595939,R
2019003236,595939,R
2019003237,517008,R
2019003238,517008,R
2019003239,517008,R
2019003240,458681,R
2019003241,458681,R
2019003242,458681,R
2019003243,430935,L
2019003244,430935,L
2019003245,430935,L
2019003246,430935,L
2019003247,458681,R
2019003248,458681,R
2019003249,458681,R
2019003250,458681,R
2019003251,430935,L
2019003252,430935,L
2019003253,430935,L
2019003254,430935,L
2019003255,458681,R
2019003256,458681,R
2019003257,458681,R
2019003258,458681,R
2019003259,458681,R
2019003260,458681,R
2019003261,458681,R
2019003262,430935,L
2019003263,430935,L
2019003264,430935,L
2019003265,430935,L
2019003266,458681,R
2019003267,458681,R
2019003268,458681,R
2019003269,458681,R
2019003270,458681,R
2019003271,458681,R
2019003272,430935,L
2019003273,430935,L
2019003274,430935,L
2019003275,430935,L
2019003276,430935,L
2019003277,430935,L
2019003278,430935,L
2019003279,430935,L
2019003280,458681,R
2019003281,458681,R
2019003282,458681,R
2019003283,430935,L
2019003284,430935,L
2019003285,430935,L
2019003286,430935,L
2019003287,458681,R
2019003288,458681,R
2019003289,458681,R
2019003290,458681,R
2019003291,458681,R
2019003292,445926,R
2019003293,445926,R
2019003294,445926,R
2019003295,613317,L
2019003296,613317,L
2019003297,543022,R
2019003298,543022,R
2019003299,543022,R
2019003300,543022,R
2019003301,613317,L
2019003302,613317,L
2019003303,613317,L
2019003304,613317,L
2019003305,455119,R
2019003306,543022,R
2019003307,543022,R
2019003308,543022,R
2019003309,543022,R
2019003310,543557,L
2019003311,543557,L
2019003312,543557,L
2019003313,518553,R
2019003314,455119,R
2019003315,455119,R
2019003316,455119,R
2019003317,455119,R
2019003318,455119,R
2019003319,600917,R
2019003320,518553,R
2019003321,518553,R
2019003322,518553,R
2019003323,600917,R
2019003324,600917,R
2019003325,600917,R
2019003326,467008,R
2019003327,467008,R
2019003328,467008,R
2019003329,501381,R
2019003330,501381,R
2019003331,501381,R
2019003332,471911,R
2019003333,471911,R
2019003334,471911,R
2019003335,471911,R
2019003336,501381,R
2019003337,501381,R
2019003338,501381,R
2019003339,471911,R
2019003340,471911,R
2019003341,471911,R
2019003342,471911,R
2019003343,471911,R
2019003344,501381,R
2019003345,501381,R
2019003346,501381,R
2019003347,471911,R
2019003348,471911,R
2019003349,471911,R
2019003350,471911,R
2019003351,501381,R
2019003352,501381,R
2019003353,501381,R
2019003354,471911,R
2019003355,471911,R
2019003356,471911,R
2019003357,471911,R
2019003358,471911,R
2019003359,471911,R
2019003360,527048,L
2019003361,527048,L
2019003362,527048,L
2019003363,527048,L
2019003364,527048,L
2019003365,471911,R
2019003366,471911,R
2019003367,471911,R
2019003368,471911,R
2019003369,519166,R
2019003370,519166,R
2019003371,519166,R
2019003372,519166,R
2019003373,527048,L
2019003374,527048,L
2019003375,527048,L
2019003376,527048,L
2019003377,519096,R
2019003378,519096,R
2019003379,519096,R
2019003380,519096,R
2019003381,527048,L
2019003382,527048,L
2019003383,527048,L
2019003384,527048,L
2019003385,669456,R
2019003386,669456,R
2019003387,669456,R
2019003388,527048,L
2019003389,527048,L
2019003390,527048,L
2019003391,527048,L
2019003392,527048,L
2019003393,527048,L
2019003394,657610,R
2019003395,669456,R
2019003396,669456,R
2019003397,669456,R
2019003398,669456,R
2019003399,669456,R
2019003400,607560,R
2019003401,607560,R
2019003402,607560,R
2019003403,607560,R
2019003404,607560,R
2019003405,645261,R
2019003406,645261,R
2019003407,645261,R
2019003408,592351,R
2019003409,592351,R
2019003410,592351,R
2019003411,592351,R
2019003412,645261,R
2019003413,645261,R
2019003414,645261,R
2019003415,645261,R
2019003416,592351,R
2019003417,592351,R
2019003418,592351,R
2019003419,645261,R
2019003420,645261,R
2019003421,645261,R
2019003422,645261,R
2019003423,592351,R
2019003424,592351,R
2019003425,592351,R
2019003426,645261,R
2019003427,645261,R
2019003428,645261,R
2019003429,592351,R
2019003430,592351,R
2019003431,592351,R
2019003432,592351,R
2019003433,592351,R
2019003434,592351,R
2019003435,645261,R
2019003436,645261,R
2019003437,645261,R
2019003438,592351,R
2019003439,592351,R
