px,pz,start_speed,end_speed,break_angle,break_length,break_y,ax,ay,az,sz_bot,sz_top,vx0,vy0,vz0,x,x0,y,y0,z0,pfx_x,pfx_z,pitch_type,ab_id
0,2.15,88.8,80.7,22.8,4.8,24,-8.47,28.9,-15.51,1.7,3.36,5.28,-128.95,-6.89,116.97,-1.42,180.81,50,6.07,-5.07,9.98,FF,2019000001
0.34,2.31,89.9,81.8,22.8,3.6,24,-7.1,28.85,-12.99,1.8,3.55,4.89,-130.54,-7.48,103.93,-1.02,176.34,50,6.2,-4.14,11.18,FF,2019000002
-0.05,2.03,85.7,79.6,9.6,6,24,3.65,22.07,-22.64,1.59,3.55,2.33,-124.6,-5.98,118.86,-1.29,183.96,50,6.3,2.3,5.99,SL,2019000002
0.49,0.92,85.4,78.5,24,7.2,24,-13.77,24.44,-25.74,1.74,3.55,7.83,-123.74,-6.78,98.15,-1.56,214.03,50,5.85,-8.87,4.14,CH,2019000002
-0.13,1.11,84.6,77.6,26.4,8.4,24,-15.99,24.56,-28.36,1.83,3.59,6.79,-122.67,-5.73,121.81,-1.57,208.77,50,5.89,-10.51,2.51,CH,2019000002
0.09,3.41,90.9,82.4,27.6,3.6,24,-8.27,30.12,-13.15,1.59,3.47,4.37,-132.01,-4.92,113.39,-0.98,146.83,50,6.28,-4.72,10.86,FF,2019000002
0.62,0.25,89,81.2,34.8,4.8,24,-14.11,27.69,-15.66,1.79,3.62,7.69,-128.79,-10.99,93.48,-1.32,232.12,50,5.79,-8.43,9.87,FT,2019000003
-1.55,2.72,84.4,78.9,22.8,7.2,24,-11.9,19.54,-26.22,1.77,3.62,3.19,-122.89,-2.48,176.02,-1.86,165.38,50,5.92,-7.62,3.82,CH,2019000003
-1.03,2.96,90.1,83.2,25.2,4.8,24,-8.89,24.92,-16.57,1.87,3.66,2.95,-131.13,-5.11,156.12,-1.5,158.79,50,6.15,-5.05,8.87,FF,2019000003
-0.48,3.16,89.2,82.8,19.2,4.8,24,-6.69,23.01,-16.49,1.82,3.65,3.58,-129.89,-4.74,135.22,-1.36,153.51,50,6.24,-3.85,9.03,FF,2019000003
-0.31,3.07,86.4,80.5,1.2,6,24,-0.04,20.96,-22.92,1.8,3.7,3.08,-125.78,-3.3,128.7,-1.53,156,50,6.22,-0.02,5.67,SL,2019000003
0.5,1.99,89.8,82.3,26.4,6,24,-13.17,27.41,-22.58,1.66,3.14,6.85,-130.34,-6.59,97.9,-1.17,185.15,50,6.26,-7.66,5.58,SI,2019000004
-0.51,1.66,82.3,76,9.6,9.6,24,-5.89,23.04,-31.55,1.77,3.17,2.97,-119.75,-4.29,136.35,-1.24,193.88,50,6.3,-4.05,0.43,CH,2019000004
0.37,1.81,92.1,83.3,39.6,7.2,24,-21.17,32.73,-21.84,1.75,3.67,7.77,-133.59,-7.33,103.09,-1.06,190.09,50,6.19,-11.89,5.8,SI,2019000005
0.45,2.36,83,76.2,25.2,9.6,24,-15.98,23.91,-30.48,1.69,3.54,6.52,-120.62,-3.55,99.91,-0.88,174.9,50,6.55,-10.87,1.15,CH,2019000005
-0.58,1.97,85.1,78.7,24,8.4,24,-14.47,23.96,-29.4,1.63,3.45,4.1,-123.83,-5.31,139.07,-1.04,185.58,50,6.6,-9.29,1.78,CH,2019000005
0.65,1.72,91.8,84.3,38.4,6,24,-17.33,27.38,-18.59,1.69,3.46,8.32,-133.13,-7.95,92.21,-1.26,192.37,50,6.08,-9.61,7.53,SI,2019000006
-0.13,2.89,91.5,82.9,30,6,24,-14.97,30.93,-21.93,1.71,3.42,6.38,-132.81,-4.38,121.79,-1.47,160.95,50,6.17,-8.46,5.79,SI,2019000006
0.9,2.45,80.7,73.1,15.6,14.4,24,11.89,27.53,-45.32,1.67,3.33,2.14,-117.14,0.03,82.51,-1.17,172.78,50,6.77,8.79,-9.71,KC,2019000006
0.49,1.78,91.8,83.6,38.4,6,24,-19.87,30.12,-20.84,1.68,3.49,8.33,-133.1,-7.32,98.33,-1.24,190.98,50,6.09,-11.14,6.36,SI,2019000007
-0.2,2.28,80.9,74,12,12,24,8.73,24.79,-41.8,1.7,3.36,0.92,-117.57,-0.72,124.54,-1.41,177.06,50,6.51,6.31,-6.96,KC,2019000007
0.62,1.99,87.6,80.3,28.8,6,24,-13.28,25.72,-20.54,1.73,3.66,7.18,-127.17,-6.16,93.23,-1.18,185.05,50,6.07,-8.1,7.09,FT,2019000008
-1.48,2.13,85.1,77.8,25.2,8.4,24,-13.32,25.61,-26.78,1.76,3.59,3.11,-123.57,-3.83,173.57,-1.64,181.45,50,5.96,-8.65,3.5,CH,2019000008
-0.42,1.95,87.7,80.6,27.6,7.2,24,-15.06,25.59,-25.65,1.62,3.37,5.67,-127.37,-5.29,133,-1.48,186.16,50,6.08,-9.14,3.96,FT,2019000008
-0.18,2.45,84.9,78.6,2.4,6,24,0.86,22.4,-23.56,1.58,3.12,2.54,-123.51,-4.62,123.83,-1.29,172.43,50,6.31,0.55,5.52,SL,2019000009
-1.11,2.51,88.4,80.2,31.2,7.2,24,-16.39,29.66,-24.66,1.67,3.25,3.95,-128.48,-4.31,159.14,-1.38,171.2,50,6.15,-9.93,4.55,FT,2019000009
-0.2,2.99,73,66.3,12,16.8,24,9.69,21.5,-46.07,1.6,3.29,0.19,-105.77,3.67,124.7,-1.42,157.91,50,6.6,8.73,-12.53,CU,2019000009
