px,pz,start_speed,end_speed,break_angle,break_length,break_y,ax,ay,az,sz_bot,sz_top,vx0,vy0,vz0,x,x0,y,y0,z0,pfx_x,pfx_z,pitch_type,ab_id
1.32,1.89,90.8,84.5,32.4,7.2,24,-17.39,24.16,-24.63,1.56,3.29,7.97,-132.11,-6.42,66.79,-0.46,187.89,50,6.12,-9.69,4.21,CH,2019002560
-0.51,3.86,90,83.3,3.6,6,24,1.44,25.08,-27.13,1.56,3.31,0.34,-131.24,-1.13,136.32,-0.75,134.51,50,6.3,0.82,2.86,SL,2019002560
0.74,2.33,90.9,83.8,31.2,7.2,24,-16.78,27.03,-25.07,1.56,3.41,6.67,-132.32,-5.03,88.64,-0.58,175.97,50,6.08,-9.42,3.99,CH,2019002560
1.12,2.78,97.5,90.1,26.4,3.6,24,-8.79,29,-13.86,1.56,3.41,5.94,-141.81,-7.08,74.32,-0.43,163.76,50,6.17,-4.27,8.89,FF,2019002560
1.16,2.55,98.8,91.6,28.8,3.6,24,-9.53,28.48,-13.61,1.56,3.41,5.85,-143.73,-7.91,72.65,-0.3,169.94,50,6.16,-4.49,8.74,FF,2019002560
1.2,2.72,98.6,90.4,28.8,3.6,24,-10.18,32.14,-14.15,1.56,3.16,6.41,-143.33,-7.34,71.25,-0.43,165.38,50,6.19,-4.88,8.64,FF,2019002561
0.85,2.65,91.4,83.8,9.6,7.2,24,4.02,29.21,-27.94,1.57,3.17,3.25,-133.09,-4.14,84.47,-0.68,167.19,50,6.26,2.24,2.36,SL,2019002561
0.23,1.78,97.1,89.5,38.4,4.8,24,-17.28,30.43,-18.6,1.56,3.41,4.96,-141.2,-8.8,108.34,-0.44,190.62,50,6.12,-8.51,6.69,SI,2019002561
1.56,2.13,96.1,87.9,46.8,4.8,24,-17.32,30.82,-12.45,1.64,3.52,8.45,-139.47,-8.6,57.46,-0.36,181.28,50,6.07,-8.78,10,SI,2019002562
-0.73,3.22,96.8,88.8,39.6,4.8,24,-16.77,31.52,-18.4,1.6,3.49,2.54,-141.04,-5,144.74,-0.56,151.79,50,6.2,-8.31,6.83,SI,2019002562
0.03,1.8,92.7,85.2,30,4.8,24,-11.78,28.08,-16.05,1.69,3.65,7.62,-134.78,-7.4,115.84,-2,190.14,50,5.71,-6.37,8.73,FF,2019002563
-1.95,3.35,92,83.8,33.6,4.8,24,-12.95,30.41,-17.61,1.58,3.32,3.14,-133.99,-3.2,191.17,-2.21,148.37,50,5.82,-7.16,8.05,FF,2019002564
-1.37,2.94,90.4,82.5,31.2,4.8,24,-11.46,28.75,-16.3,1.58,3.28,4.29,-131.61,-4.26,169.21,-2.17,159.3,50,5.8,-6.55,9.08,FF,2019002564
0.19,3,79.2,72.6,13.2,12,24,8.63,22.86,-39.68,1.51,3.21,3.48,-115.21,2.12,109.75,-2.18,157.63,50,5.93,6.47,-5.63,CU,2019002564
0.21,1.53,93.1,84.9,33.6,4.8,24,-14.17,30.49,-16.46,1.58,3.34,8.78,-135.18,-7.72,109.04,-2.09,197.6,50,5.58,-7.69,8.52,FF,2019002564
1.23,3.38,92.5,84.6,24,4.8,24,-10.14,28.92,-16.69,1.58,3.28,10.37,-134.45,-3.25,70.11,-1.96,147.53,50,5.79,-5.53,8.45,FF,2019002564
0.57,0.9,87.5,80.9,30,7.2,24,-16.62,24.34,-24.87,1.59,3.32,9.65,-127.13,-6.86,95.14,-1.95,214.62,50,5.58,-10.08,4.43,CH,2019002564
-0.78,2.37,91.7,83.9,36,6,24,-17.3,28.97,-21.12,1.6,3.49,6.84,-133.4,-4.81,146.8,-2.13,174.71,50,5.73,-9.61,6.14,FT,2019002565
-1.28,3.33,91.4,84.7,33.6,6,24,-15.6,25.22,-21.53,1.57,3.42,5.3,-133.32,-2.57,165.95,-2.17,148.95,50,5.84,-8.56,5.84,FT,2019002565
-0.83,1.88,91.9,84.9,36,6,24,-17.21,26.73,-21.05,1.57,3.35,6.82,-133.86,-6.08,148.57,-2.18,187.99,50,5.67,-9.41,6.08,FT,2019002565
0.4,0.36,86.4,80.4,25.2,8.4,24,-15.58,22.7,-28.54,1.6,3.49,9.21,-125.54,-7.24,101.88,-2.05,228.95,50,5.57,-9.65,2.25,CH,2019002565
-0.73,1.4,93.1,86.4,33.6,6,24,-15.27,25.96,-19.47,1.62,3.58,6.72,-135.49,-7.74,144.72,-2.17,200.89,50,5.63,-8.11,6.75,FT,2019002566
1.2,1.83,92.5,85.4,27.6,4.8,24,-10.97,26.33,-15.71,1.64,3.53,10.5,-134.3,-7.04,71.12,-1.97,189.35,50,5.58,-5.95,8.93,FF,2019002566
-0.61,1.97,85.6,79.9,24,7.2,24,-12.98,21.38,-26.02,1.56,3.41,6.54,-124.84,-4.01,140.36,-2.19,185.45,50,5.7,-8.1,3.84,CH,2019002566
1,1.07,81.4,75.8,10.8,10.8,24,6.1,21.78,-34.82,1.51,3.32,2.52,-118.58,-4.45,78.54,-0.63,209.91,50,6.13,4.27,-1.85,CU,2019002567
0.82,2.16,90.5,83.8,3.6,6,24,1.31,25.6,-25.99,1.51,3.32,3.68,-131.71,-5.58,85.68,-0.68,180.5,50,6.2,0.74,3.49,SL,2019002567
0.62,3,90.9,83.6,6,6,24,2.04,27.61,-26.65,1.19,2.85,3.27,-132.29,-3.58,93.39,-0.78,157.85,50,6.31,1.15,3.11,SL,2019002568
1.68,0,82.5,76.2,13.2,9.6,24,7.46,24.65,-33.06,1.16,2.88,4.26,-119.89,-7.35,53.04,-0.8,238.75,50,6.08,5.16,-0.62,CU,2019002568
0.57,3.58,95.4,87.9,15.6,3.6,24,-5.4,28.43,-15.83,1.15,2.73,4.12,-138.89,-4.52,95.25,-0.57,142.15,50,6.26,-2.74,8.29,FF,2019002568
0.39,2.54,96.7,88.9,26.4,3.6,24,-8.48,30.52,-13.55,1.51,3.32,4.83,-140.69,-7.52,102.08,-0.8,170.32,50,6.11,-4.21,9.25,FF,2019002568
1.64,2.67,96.7,88.7,25.2,3.6,24,-8.52,30.82,-13.56,1.48,3.39,7.04,-140.53,-7.23,54.64,-0.34,166.7,50,6.15,-4.24,9.28,FF,2019002569
-0.32,2.97,96.4,88.5,34.8,4.8,24,-13.76,30.82,-17.08,1.68,3.58,3.67,-140.4,-5.96,129.2,-0.75,158.51,50,6.23,-6.87,7.54,SI,2019002569
-0.19,3.65,95.9,88,22.8,3.6,24,-7.46,30.32,-15.53,1.68,3.58,2.52,-139.7,-4.56,124.43,-0.62,140.12,50,6.32,-3.76,8.39,FF,2019002569
0.56,1.85,79.7,73.9,14.4,10.8,24,8.46,21.2,-35.37,1.32,3.07,4.58,-116,-1.41,95.78,-2.25,188.8,50,5.83,6.2,-2.34,CU,2019002570
-0.75,0.87,85.4,79.3,24,8.4,24,-13.97,23.13,-28.55,1.56,3.41,6.3,-124.35,-6.14,145.44,-2.15,215.17,50,5.72,-8.85,2.29,CH,2019002570
-1.84,4.01,92.2,84.9,36,4.8,24,-14.1,27.03,-18.55,1.44,3.11,3.45,-134.42,-1.26,187.23,-2.14,130.54,50,5.79,-7.65,7.39,FT,2019002570
0.01,2.57,92.8,85.7,30,4.8,24,-12.18,26.5,-17.47,1.56,3.41,7.59,-135.07,-5.18,116.73,-1.98,169.34,50,5.72,-6.52,7.88,FF,2019002570
-0.26,1.78,92.2,85,36,6,24,-16.61,27.25,-19.23,1.56,3.41,7.51,-134.06,-6.82,127.01,-1.91,190.78,50,5.71,-9.07,7.07,FT,2019002571
-0.75,1.7,79.7,73.7,10.8,12,24,6.84,22.39,-39.27,1.56,3.41,1.98,-116.21,-0.92,145.71,-2.27,192.9,50,5.84,5.01,-5.21,CU,2019002572
-0.82,1.05,86.7,80.5,26.4,7.2,24,-14.24,23.66,-25.84,1.64,3.48,5.98,-126.25,-6.52,None,-2.07,None,50,5.72,-8.75,3.89,CH,2019002572
1.25,1.51,87.6,81.7,1.2,7.2,24,-2,22.9,-27.16,1.63,3.47,8.7,-127.5,-5.06,148.13,-2.03,210.43,50,5.63,-1.2,3.01,SL,2019002572
-0.16,1.86,79.8,73.9,10.8,12,24,6.92,21.96,-40.06,1.59,3.47,3.19,-116.26,-0.29,69.33,-2.21,198.02,50,5.8,5.06,-5.77,CU,2019002572
0.27,3.38,94.9,86.7,7.2,3.6,24,-2.75,31.12,-15.47,1.53,3.37,3.25,-138.16,-4.94,106.61,-0.73,147.41,50,6.24,-1.43,8.65,FF,2019002573
0.44,2.66,95.3,87.6,19.2,3.6,24,-6.58,29.77,-15.54,1.54,3.36,4.07,-138.78,-6.76,100.26,-0.61,166.9,50,6.15,-3.36,8.49,FF,2019002573
1.28,2.16,90.7,83.6,4.8,6,24,1.74,27.58,-26.27,1.53,3.37,4.43,-132,-5.67,68.06,-0.54,180.46,50,6.27,0.99,3.34,SL,2019002573
0.57,1.24,80.7,74.5,13.2,10.8,24,8.58,22.99,-35.39,1.38,2.88,0.85,-117.42,-3.82,95.45,-0.6,205.37,50,6.19,6.17,-2.31,CU,2019002574
0.08,2.7,90.7,83.6,28.8,6,24,-13.59,26.84,-22.3,1.59,3.47,4.34,-132.11,-4.73,113.87,-0.58,166.02,50,6.14,-7.65,5.56,CH,2019002574
1.07,4.43,96.3,88.1,9.6,3.6,24,-3.6,31.41,-15.31,1.61,3.34,4.95,-140.25,-2.55,76.2,-0.48,119.25,50,6.34,-1.81,8.46,FF,2019002575
-0.03,3.4,88.5,81.7,4.8,7.2,24,1.99,25.15,-29.68,1.6,3.28,1.55,-128.98,-1.55,118.28,-0.79,146.92,50,6.28,1.17,1.47,SL,2019002575
1.59,2.7,96.7,88.3,32.4,3.6,24,-12.8,32.32,-15.69,1.68,3.34,7.94,-140.53,-6.7,56.5,-0.44,165.74,50,6.14,-6.41,8.26,SI,2019002575
0.82,3.08,96.7,87.9,13.2,3.6,24,-5.31,34.17,-16.04,1.6,3.36,4.67,-140.67,-5.72,85.86,-0.53,155.53,50,6.2,-2.67,8.11,FF,2019002575
